 profundidade, Hcp_real, Hcp_imag, Hcx_real, Hcx_imag, rho
  0.3000000000000000E+01, -0.7607253359869710E-01, -0.1587849775004811E-04,  0.1544618215521963E+00, -0.2590353708695147E-04, 220.0
  0.3099999904632568E+01, -0.7607255768030521E-01, -0.1601917975961520E-04,  0.1544617731954790E+00, -0.2618155397437038E-04, 220.0
  0.3200000047683716E+01, -0.7607258329489958E-01, -0.1618812678729630E-04,  0.1544617217319236E+00, -0.2651457079877702E-04, 220.0
  0.3299999952316284E+01, -0.7607261047308000E-01, -0.1638667571798938E-04,  0.1544616670997447E+00, -0.2690522454316602E-04, 220.0
  0.3400000095367432E+01, -0.7607263924982585E-01, -0.1661645606949695E-04,  0.1544616092282937E+00, -0.2735672296199904E-04, 220.0
  0.3500000000000000E+01, -0.7607266966475290E-01, -0.1687942591319981E-04,  0.1544615480375451E+00, -0.2787291526100640E-04, 220.0
  0.3599999904632568E+01, -0.7607270176241682E-01, -0.1717791682122701E-04,  0.1544614834374780E+00, -0.2845838042384713E-04, 220.0
  0.3700000047683716E+01, -0.7607273559267516E-01, -0.1751468986418029E-04,  0.1544614153273451E+00, -0.2911853716229088E-04, 220.0
  0.3799999952316284E+01, -0.7607277121111576E-01, -0.1789300531931371E-04,  0.1544613435948066E+00, -0.2985978071178848E-04, 220.0
  0.3900000095367432E+01, -0.7607280867956229E-01, -0.1831670959132732E-04,  0.1544612681149055E+00, -0.3068965335781189E-04, 220.0
  0.4000000000000000E+01, -0.7607284806666950E-01, -0.1879034400727612E-04,  0.1544611887488657E+00, -0.3161705782903702E-04, 220.0
  0.4099999904632568E+01, -0.7607288944862504E-01, -0.1931928170231956E-04,  0.1544611053426686E+00, -0.3265252577886350E-04, 220.0
  0.4199999809265137E+01, -0.7607293290998118E-01, -0.1990990100646558E-04,  0.1544610177253736E+00, -0.3380855785849535E-04, 220.0
  0.4300000190734863E+01, -0.7607297854463860E-01, -0.2056980680053007E-04,  0.1544609257071210E+00, -0.3510005790869960E-04, 220.0
  0.4400000095367432E+01, -0.7607302645702343E-01, -0.2130811568496728E-04,  0.1544608290767561E+00, -0.3654489239129664E-04, 220.0
  0.4500000000000000E+01, -0.7607307676349447E-01, -0.2213582713128724E-04,  0.1544607275989781E+00, -0.3816461862671271E-04, 220.0
  0.4599999904632568E+01, -0.7607312959404011E-01, -0.2306631209838716E-04,  0.1544606210108993E+00, -0.3998544372533054E-04, 220.0
  0.4699999809265137E+01, -0.7607318509434707E-01, -0.2411596453999396E-04,  0.1544605090178653E+00, -0.4203950354736486E-04, 220.0
  0.4800000190734863E+01, -0.7607324342832834E-01, -0.2530508251194242E-04,  0.1544603912883230E+00, -0.4436659295185010E-04, 220.0
  0.4900000095367432E+01, -0.7607330478126592E-01, -0.2665907877170724E-04,  0.1544602674474708E+00, -0.4701654400866742E-04, 220.0
  0.5000000000000000E+01, -0.7607336936373360E-01, -0.2821017372641893E-04,  0.1544601370692964E+00, -0.5005255333317429E-04, 220.0
  0.5099999904632568E+01, -0.7607343741658253E-01, -0.2999981033388436E-04,  0.1544599996664769E+00, -0.5355593102518488E-04, 220.0
  0.5199999809265137E+01, -0.7607350921735630E-01, -0.3208217685828659E-04,  0.1544598546773761E+00, -0.5763303294492985E-04, 220.0
  0.5300000190734863E+01, -0.7607358508868643E-01, -0.3452947830853018E-04,  0.1544597014490157E+00, -0.6242564282956128E-04, 220.0
  0.5400000095367432E+01, -0.7607366540948976E-01, -0.3744005847854295E-04,  0.1544595392143543E+00, -0.6812698536362161E-04, 220.0
  0.5500000000000000E+01, -0.7607375063024552E-01, -0.4095134490069283E-04,  0.1544593670612701E+00, -0.7500728163670152E-04, 220.0
  0.5599999904632568E+01, -0.7607384129438294E-01, -0.4526131543554888E-04,  0.1544591838891017E+00, -0.8345620028037606E-04, 220.0
  0.5699999809265137E+01, -0.7607393806916889E-01, -0.5066581447235094E-04,  0.1544589883458196E+00, -0.9405681996057467E-04, 220.0
  0.5800000190734863E+01, -0.7607404179202318E-01, -0.5762722281223340E-04,  0.1544587787336887E+00, -0.1077221623539674E-03, 220.0
  0.5900000095367432E+01, -0.7607415354323570E-01, -0.6691001685744607E-04,  0.1544585528608398E+00, -0.1259659274716414E-03, 220.0
  0.6000000000000000E+01, -0.7607427476700790E-01, -0.7987320374928157E-04,  0.1544583077934895E+00, -0.1514905168606496E-03, 220.0
  0.6099999904632568E+01, -0.7607427982652964E-01, -0.6453324366164215E-04,  0.1544580462570239E+00, -0.1820868373465499E-03, 220.0
  0.6199999809265137E+01, -0.7607427869620885E-01, -0.4919530729614494E-04,  0.1544577734597588E+00, -0.2126854824820464E-03, 220.0
  0.6300000190734863E+01, -0.7607427138918330E-01, -0.3385932817675930E-04,  0.1544574894007402E+00, -0.2432863084932384E-03, 220.0
  0.6400000095367432E+01, -0.7607425791815194E-01, -0.1852524364552529E-04,  0.1544571940793483E+00, -0.2738891788202708E-03, 220.0
  0.6500000000000000E+01, -0.7607423829540168E-01, -0.3192994611662264E-05,  0.1544568874952777E+00, -0.3044939636490573E-03, 220.0
  0.6599999904632568E+01, -0.7607421253282651E-01,  0.1213747467562379E-04,  0.1544565696485148E+00, -0.3351005394838035E-03,   1.0
  0.6699999809265137E+01, -0.7607418064194829E-01,  0.2746621684207130E-04,  0.1544562405393193E+00, -0.3657087887488483E-03,   1.0
  0.6800000190734863E+01, -0.7607414263393418E-01,  0.4279328158343082E-04,  0.1544559001682083E+00, -0.3963185994199328E-03,   1.0
  0.6900000095367432E+01, -0.7607409851961659E-01,  0.5811871584783256E-04,  0.1544555485359417E+00, -0.4269298646851676E-03,   1.0
  0.7000000000000000E+01, -0.7607404830950305E-01,  0.7344256400526075E-04,  0.1544551856435018E+00, -0.4575424826250642E-03,   1.0
  0.7099999904632568E+01, -0.7607423083912464E-01,  0.9893665473196827E-05,  0.1544548287280086E+00, -0.4830872364500661E-03,   1.0
  0.7199999809265137E+01, -0.7607441997726382E-01, -0.3573468749378703E-04,  0.1544544925655202E+00, -0.5013552846657506E-03,   1.0
  0.7300000190734863E+01, -0.7607461415073855E-01, -0.7006171635593665E-04,  0.1544541742258924E+00, -0.5150491781444878E-03,   1.0
  0.7400000095367432E+01, -0.7607481222314687E-01, -0.9681113667256803E-04,  0.1544538714976559E+00, -0.5256827742570381E-03,   1.0
  0.7500000000000000E+01, -0.7607501333480106E-01, -0.1182353987294902E-03,  0.1544535826520219E+00, -0.5341692612607221E-03,   1.0
  0.7599999904632568E+01, -0.7607521681290809E-01, -0.1357758998724573E-03,  0.1544533062998205E+00, -0.5410918947270190E-03,   1.0
  0.7699999809265137E+01, -0.7607542211710848E-01, -0.1503974278984164E-03,  0.1544530412998182E+00, -0.5468405315931868E-03,   1.0
  0.7800000190734863E+01, -0.7607562880443894E-01, -0.1627699036384755E-03,  0.1544527866973018E+00, -0.5516855937380819E-03,   1.0
