 profundidade, Hcp_real, Hcp_imag, Hcx_real, Hcx_imag, rho
  0.1399999976158142E+01, -0.7607234695576769E-01, -0.1727639416662628E-04,  0.1544621925070571E+00, -0.2851807386660955E-04, 220.0
  0.1500000000000000E+01, -0.7607234748883165E-01, -0.1695839310990297E-04,  0.1544621918945608E+00, -0.2791095571958655E-04, 220.0
  0.1600000023841858E+01, -0.7607234959935703E-01, -0.1667931764170339E-04,  0.1544621880834216E+00, -0.2737830209709439E-04, 220.0
  0.1700000047683716E+01, -0.7607235325224922E-01, -0.1643628550396612E-04,  0.1544621811447404E+00, -0.2691471597643708E-04, 220.0
  0.1799999952316284E+01, -0.7607235841772822E-01, -0.1622686702488639E-04,  0.1544621711388706E+00, -0.2651564093479248E-04, 220.0
  0.1899999976158142E+01, -0.7607236507096056E-01, -0.1604902354314162E-04,  0.1544621581161586E+00, -0.2617725043165751E-04, 220.0
  0.2000000000000000E+01, -0.7607237319175045E-01, -0.1590105832291382E-04,  0.1544621421175723E+00, -0.2589635912511495E-04, 220.0
  0.2099999904632568E+01, -0.7607238276428206E-01, -0.1578157749483941E-04,  0.1544621231752220E+00, -0.2567035206008364E-04, 220.0
  0.2200000047683716E+01, -0.7607239377690843E-01, -0.1568945918328159E-04,  0.1544621013127837E+00, -0.2549712859050459E-04, 220.0
  0.2299999952316284E+01, -0.7607240622198223E-01, -0.1562382944457806E-04,  0.1544620765458443E+00, -0.2537505867157589E-04, 220.0
  0.2400000095367432E+01, -0.7607242009572390E-01, -0.1558404399270724E-04,  0.1544620488821657E+00, -0.2530294975737191E-04, 220.0
  0.2500000000000000E+01, -0.7607243539812723E-01, -0.1556967496594509E-04,  0.1544620183218781E+00, -0.2528002301410223E-04, 220.0
  0.2599999904632568E+01, -0.7607245213289514E-01, -0.1558050220808056E-04,  0.1544619848576065E+00, -0.2530589794796508E-04, 220.0
  0.2700000047683716E+01, -0.7607247030741109E-01, -0.1561650872310173E-04,  0.1544619484745333E+00, -0.2538058487707114E-04, 220.0
  0.2799999952316284E+01, -0.7607248993273687E-01, -0.1567788012838506E-04,  0.1544619091503952E+00, -0.2550448497123062E-04, 220.0
  0.2900000095367432E+01, -0.7607251102364856E-01, -0.1576500807348064E-04,  0.1544618668554200E+00, -0.2567839786020200E-04, 220.0
